2025年8月15日,118.0,2.24,85.46,14.0,5.0,6.0,大元泵业,5.0,2.0,76.0,85.0,27.0,
2025年8月14日,53.0,2.28,13.58,15.0,4.0,26.0,大元泵业,5.0,10.0,59.0,44.0,31.0,
2025年8月13日,109.0,2.15,50.49,24.0,5.0,4.0,吉视传媒,5.0,0.0,77.0,92.0,28.0,
2025年8月12日,59.0,1.88,38.48,19.0,4.0,8.0,吉视传媒,5.0,4.0,70.0,51.0,22.0,
2025年8月11日,88.0,1.83,77.37,17.0,3.0,3.0,吉视传媒-上海港湾,5.0,4.0,74.0,78.0,28.0,
2025年8月8日,71.0,1.71,44.89,10.0,5.0,20.0,国机精工,5.0,2.0,73.0,61.0,23.0,
2025年8月7日,64.0,1.83,39.16,14.0,5.0,19.0,中马传动,5.0,8.0,79.0,59.0,16.0,
2025年8月6日,76.0,1.73,62.05,14.0,5.0,9.0,倍加洁,5.0,2.0,78.0,62.0,18.0,
2025年8月5日,58.0,1.6,72.17,10.0,4.0,10.0,倍加洁,4.0,1.0,75.0,53.0,18.0,
2025年8月4日,74.0,1.5,71.7,9.0,4.0,8.0,盛通能源,8.0,4.0,76.0,55.0,17.0,
2025年8月1日,55.0,1.6,61.12,11.0,3.0,23.0,盛通能源-奇正藏药,8.0,7.0,59.0,40.0,28.0,
2025年7月31日,56.0,1.94,19.62,11.0,8.0,16.0,西藏旅游,8.0,5.0,60.0,43.0,29.0,
2025年7月30日,58.0,1.84,31.65,12.0,7.0,12.0,西藏旅游,7.0,7.0,72.0,48.0,19.0,
2025年7月29日,62.0,1.8,41.39,9.0,6.0,7.0,西藏旅游,6.0,2.0,66.0,43.0,22.0,
2025年7月28日,69.0,1.74,51.41,5.0,5.0,10.0,西藏旅游,5.0,4.0,73.0,55.0,20.0,
2025年7月25日,54.0,1.79,46.83,9.0,5.0,25.0,西宁特钢,5.0,10.0,63.0,45.0,26.0,
2025年7月24日,91.0,1.84,81.22,18.0,4.0,8.0,山河智能-中设股份-韩建河山-南方路机-西宁特钢----,4.0,0.0,79.0,72.0,19.0,
2025年7月23日,66.0,1.86,23.51,27.0,4.0,51.0,南矿集团,4.0,5.0,47.0,49.0,55.0,
2025年7月22日,122.0,1.89,47.02,61.0,4.0,6.0,北华股份-柳钢股份-美邦股份,6.0,3.0,88.0,99.0,13.0,
2025年7月21日,136.0,1.7,74.08,12.0,3.0,3.0,北化股份-建设工业-人民同泰-柳钢股份-美邦股份,6.0,1.0,85.0,117.0,21.0,
2025年7月18日,55.0,1.57,48.14,13.0,6.0,10.0,兰生股份,6.0,1.0,69.0,45.0,20.0,
2025年7月17日,71.0,1.54,65.4,16.0,5.0,8.0,上海物资-兰生股份,5.0,1.0,68.0,58.0,27.0,
2025年7月16日,68.0,1.44,60.63,13.0,4.0,5.0,华宏科技-上海物资-兰生股份,4.0,2.0,72.0,55.0,21.0,
2025年7月15日,54.0,1.61,24.63,11.0,3.0,23.0,华宏科技-上海物资-兰生股份-汇通集团-绿田机械,4.0,16.0,66.0,42.0,22.0,
2025年7月14日,71.0,1.46,58.76,19.0,4.0,14.0,国晟科技,5.0,9.0,76.0,63.0,20.0,
2025年7月11日,73.0,1.71,54.72,17.0,5.0,10.0,四方新材,6.0,5.0,70.0,60.0,26.0,
2025年7月10日,72.0,1.49,54.50,18.0,6.0,16.0,华光环能-森林包装,6.0,5.0,75.0,59.0,20.0,
2025年7月9日,57.0,1.51,34.33,18.0,5.0,4.0,金安国纪-华光环能-华银电力-森林包装,5.0,2.0,64.0,53.0,30.0,
2025年7月8日,76.0,1.45,79.25,17.0,4.0,4.0,金安国纪-华光环能-华银电力-森林包装,4.0,1.0,82.0,67.0,15.0,
2025年7月7日,72.0,1.21,60.24,12.0,3.0,5.0,金安国纪-金一文化-华光环能-华银电力-森林包装,5.0,2.0,87.0,67.0,10.0,
2025年7月4日,43.0,1.43,21.63,10.0,4.0,22.0,柳钢股份-塞力医疗,6.0,10.0,65.0,39.0,21.0,
2025年7月3日,73.0,1.31,60.53,14.0,6.0,11.0,诚邦股份,6.0,2.0,81.0,61.0,14.0,
2025年7月2日,70.0,1.38,36,12.0,5.0,19.0,诚邦股份,5.0,8.0,79.0,59.0,16.0,
2025年7月1日,70.0,1.38,48.83,14.0,4.0,19.0,诚邦股份,5.0,3.0,70.0,63.0,27.0,